id,sex,age,errors_adj,errors_verbs,list
1637329557,female,18,2.08,0,1
1637411186,male,18,6.25,1.75,1
1637448539,male,46,0,0,1
1637449231,female,18,4.17,3.51,1
1637486820,male,25,6.25,7.02,1
1638112814,male,27,18.75,47.37,1
1638113505,male,45,12.5,42.11,1
1638122438,male,78,35.42,40.35,1
1638129966,male,46,0,0,1
1638148455,female,49,6.25,1.75,1
1638181777,female,23,4.17,3.51,1
1638187750,male,48,41.67,50.88,1
1638194239,male,53,2.08,0,1
1638195717,male,57,4.17,3.51,1
1638196552,female,20,4.17,1.75,1
1638210870,male,38,18.75,28.07,1
1638263625,male,32,8.33,1.75,1
1638300280,female,52,4.17,1.75,1
1639056521,male,28,0,5.26,1
1637330668,male,18,0,0,2
1637335541,male,18,0,0,2
1637338191,female,24,0,3.51,2
1637391484,female,39,0,1.75,2
1637401459,female,18,2.08,1.75,2
1638111738,male,23,8.33,5.26,2
1638117458,male,40,2.08,0,2
1638129009,male,36,0,3.51,2
1638133463,female,47,8.33,3.51,2
1638166503,male,34,2.08,0,2
1638240165,female,35,0,1.75,2
1638913214,female,37,33.33,47.37,2
1639409167,male,35,22.92,22.81,2
1637331193,male,18,4.17,1.75,3
1637353883,female,18,0,5.26,3
1637572144,female,65,6.25,1.75,3
1638114415,female,44,2.08,1.75,3
1638114847,female,35,0,1.75,3
1638115769,male,48,0,12.28,3
1638120147,female,40,54.17,64.91,3
1637331193,male,18,4.17,1.75,3
1637353883,female,18,0,5.26,3
1637572144,female,65,6.25,1.75,3
1638114415,female,44,2.08,1.75,3
1638114847,female,35,0,1.75,3
1638115769,male,48,0,12.28,3
1638120147,female,40,54.17,64.91,3
1637347911,female,62,0,7.02,4
1637410867,female,44,0,1.75,4
1637500754,male,52,2.08,1.75,4
1638088941,male,23,0,1.75,4
1638111700,female,44,4.17,5.26,4
1638117695,male,51,0,0,4
1638122771,male,62,4.17,5.26,4
1638123144,female,70,2.08,1.75,4
1638181438,male,27,4.17,5.26,4
1638218519,male,31,0,3.51,4
1638355031,female,22,0,3.51,4
1637328923,female,18,0,7.02,1
1637329033,female,18,0,1.75,1
1637330388,female,60,2.08,1.75,1
1637388390,female,18,0,1.75,1
1637410923,female,18,4.17,5.26,1
1638112871,male,34,0,0,1
1638114543,male,30,4.17,5.26,1
1638119785,female,33,2.08,1.75,1
1638127480,female,40,4.17,5.26,1
1638152197,female,32,0,3.51,1
1638249177,male,42,0,3.51,1
1637328952,female,20,6.25,12.28,2
1637338725,female,19,2.08,15.79,2
1637347929,female,18,4.17,1.75,2
1637350433,female,70,0,0,2
1637400938,male,65,0,5.26,2
1637409070,male,47,2.08,3.51,2
1637430247,female,20,0,5.26,2
1637522471,male,19,2.08,7.02,2
1637525922,female,18,0,3.51,2
1638054002,male,20,0,0,2
1638124328,female,48,4.17,8.77,2
1638126296,male,42,31.25,36.84,2
1638133072,male,36,58.33,61.4,2
1638137416,female,57,2.08,10.53,2
1638141995,female,48,0,0,2
1638215518,male,32,0,3.51,2
1637348760,male,69,2.08,5.26,3
1638114028,male,66,0,1.75,3
1638114200,female,73,2.08,3.51,3
1638117191,female,53,10.42,10.53,3
1638121760,male,34,2.08,5.26,3
1638123425,female,50,6.25,12.28,3
1637331692,female,81,2.08,3.51,4
1637402401,female,43,0,15.79,4
1637477888,female,47,10.42,7.02,4
1638113088,female,51,2.08,29.82,4
1638120249,male,46,0,5.26,4
1638391276,female,19,54.17,61.4,4
1637398401,male,50,4.17,3.51,1
1637445148,female,18,4.17,0,1
1638054027,female,19,0,0,1
1638111213,male,35,8.33,17.54,1
1638111795,male,32,0,3.51,1
1638124006,male,46,31.25,24.56,1
1638133860,male,50,39.58,19.3,1
1638186746,female,32,2.08,1.75,1
1638221822,female,56,35.42,42.11,1
1638266130,male,23,43.75,43.86,1
1638439987,female,41,14.58,33.33,1
1637332605,female,19,2.08,1.75,2
1637402790,female,18,2.08,5.26,2
1637494974,female,18,2.08,5.26,2
1637518320,female,18,2.08,0,2
1638113969,male,44,12.5,43.86,2
1638127171,female,39,0,1.75,2
1638193265,male,29,4.17,1.75,2
1638297770,female,31,4.17,26.32,2
1637331885,female,18,2.08,0,3
1637520208,female,18,0,3.51,3
1638110958,male,33,0,5.26,3
1638115907,female,42,0,1.75,3
1638118533,female,40,2.08,1.75,3
1638118671,male,34,6.25,3.51,3
1638131668,male,51,12.5,12.28,3
1638267820,female,30,2.08,5.26,3
1637339565,male,18,0,1.75,4
1637487034,male,52,12.5,10.53,4
1637491586,female,69,2.08,12.28,4
1638108849,male,52,2.08,12.28,4
1638115865,female,24,2.08,1.75,4
1638115887,male,52,4.17,12.28,4
1638117824,male,44,35.42,40.35,4
1638120421,female,34,22.92,49.12,4
1638126846,female,59,4.17,8.77,4
1638285496,male,66,22.02,7.02,4
